,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,State,Literacy Rate,normalized_literacy
449,Sandoval,Sandoval,Sandoval County,35043,NM,New Mexico,35.6886,-106.8659,147327,New Mexico,70.9,1.0
450,Rowan,Rowan,Rowan County,37159,NC,North Carolina,35.6394,-80.5247,145784,North Carolina,78.7,0.5568181818181819
451,Coconino,Coconino,Coconino County,4005,AZ,Arizona,35.8387,-111.7705,144942,Arizona,76.6,0.6761363636363642
452,Coweta,Coweta,Coweta County,13077,GA,Georgia,33.3534,-84.7634,144928,Georgia,76.4,0.6874999999999999
453,Parker,Parker,Parker County,48367,TX,Texas,32.7776,-97.8051,144803,Texas,71.8,0.9488636363636368
454,Wilson,Wilson,Wilson County,47189,TN,Tennessee,36.1549,-86.2977,144748,Tennessee,78.3,0.5795454545454549
455,Rock Island,Rock Island,Rock Island County,17161,IL,Illinois,41.4673,-90.5674,144694,Illinois,79.6,0.5056818181818187
456,Sussex,Sussex,Sussex County,34037,NJ,New Jersey,41.1393,-74.6908,144492,New Jersey,79.3,0.522727272727273
457,Randolph,Randolph,Randolph County,37151,NC,North Carolina,35.7103,-79.806,143735,North Carolina,78.7,0.5568181818181819
458,Douglas,Douglas,Douglas County,13097,GA,Georgia,33.7018,-84.768,143520,Georgia,76.4,0.6874999999999999
459,Schuylkill,Schuylkill,Schuylkill County,42107,PA,Pennsylvania,40.7058,-76.216,143308,Pennsylvania,81.9,0.3749999999999998
460,Jackson,Jackson,Jackson County,28059,MS,Mississippi,30.5423,-88.6357,142993,Mississippi,72.0,0.9375000000000003
461,Lebanon,Lebanon,Lebanon County,42075,PA,Pennsylvania,40.3672,-76.4577,142486,Pennsylvania,81.9,0.3749999999999998
462,Taylor,Taylor,Taylor County,48441,TX,Texas,32.3015,-99.8902,141739,Texas,71.8,0.9488636363636368
463,Livingston,Livingston,Livingston Parish,22063,LA,Louisiana,30.4401,-90.7279,141057,Louisiana,72.9,0.8863636363636364
464,Monroe,Monroe,Monroe County,18105,IN,Indiana,39.1609,-86.5231,140189,Indiana,81.3,0.4090909090909094
465,Kaufman,Kaufman,Kaufman County,48257,TX,Texas,32.5993,-96.2878,140145,Texas,71.8,0.9488636363636368
466,Wright,Wright,Wright County,27171,MN,Minnesota,45.1739,-93.9631,139890,Minnesota,86.9,0.0909090909090906
467,Randall,Randall,Randall County,48381,TX,Texas,34.9659,-101.897,139176,Texas,71.8,0.9488636363636368
468,Napa,Napa,Napa County,6055,CA,California,38.5065,-122.3305,138795,California,71.6,0.9602272727272734
469,Spotsylvania,Spotsylvania,Spotsylvania County,51177,VA,Virginia,38.185,-77.6561,138493,Virginia,81.2,0.4147727272727273
470,Marathon,Marathon,Marathon County,55073,WI,Wisconsin,44.8983,-89.7591,137597,Wisconsin,84.7,0.21590909090909083
471,Florence,Florence,Florence County,45041,SC,South Carolina,34.0245,-79.703,137276,South Carolina,77.6,0.6193181818181823
472,Humboldt,Humboldt,Humboldt County,6023,CA,California,40.6993,-123.8756,137014,California,71.6,0.9602272727272734
473,Hampton,Hampton,Hampton City,51650,VA,Virginia,37.0551,-76.363,136748,Virginia,81.2,0.4147727272727273
474,Washington,Washington,Washington County,55131,WI,Wisconsin,43.3685,-88.2307,136300,Wisconsin,84.7,0.21590909090909083
475,Clark,Clark,Clark County,39023,OH,Ohio,39.9168,-83.7838,136032,Ohio,82.3,0.3522727272727275
476,Boone,Boone,Boone County,21015,KY,Kentucky,38.9699,-84.7278,134599,Kentucky,78.1,0.5909090909090915
477,Calhoun,Calhoun,Calhoun County,26025,MI,Michigan,42.2465,-85.0056,134207,Michigan,82.4,0.34659090909090884
478,Grayson,Grayson,Grayson County,48181,TX,Texas,33.6268,-96.6777,134205,Texas,71.8,0.9488636363636368
479,Cambria,Cambria,Cambria County,42021,PA,Pennsylvania,40.4952,-78.7135,134048,Pennsylvania,81.9,0.3749999999999998
480,Blount,Blount,Blount County,47009,TN,Tennessee,35.6872,-83.9255,134042,Tennessee,78.3,0.5795454545454549
481,Brunswick,Brunswick,Brunswick County,37019,NC,North Carolina,34.071,-78.2377,133789,North Carolina,78.7,0.5568181818181819
482,Warren,Warren,Warren County,21227,KY,Kentucky,36.9936,-86.4238,133216,Kentucky,78.1,0.5909090909090915
483,Harnett,Harnett,Harnett County,37085,NC,North Carolina,35.3688,-78.8693,133074,North Carolina,78.7,0.5568181818181819
484,Tangipahoa,Tangipahoa,Tangipahoa Parish,22105,LA,Louisiana,30.6266,-90.4057,132492,Louisiana,72.9,0.8863636363636364
485,Washington,Washington,Washington County,47179,TN,Tennessee,36.2933,-82.4974,132067,Tennessee,78.3,0.5795454545454549
486,Tazewell,Tazewell,Tazewell County,17179,IL,Illinois,40.5075,-89.5134,131977,Illinois,79.6,0.5056818181818187
487,Wood,Wood,Wood County,39173,OH,Ohio,41.3617,-83.623,131930,Ohio,82.3,0.3522727272727275
488,Cache,Cache,Cache County,49005,UT,Utah,41.7224,-111.7436,131703,Utah,85.5,0.17045454545454553
489,Black Hawk,Black Hawk,Black Hawk County,19013,IA,Iowa,42.4701,-92.3088,131396,Iowa,85.1,0.19318181818181857
490,Kendall,Kendall,Kendall County,17093,IL,Illinois,41.5906,-88.4288,130757,Illinois,79.6,0.5056818181818187
491,Strafford,Strafford,Strafford County,33017,NH,New Hampshire,43.2969,-71.0289,130598,New Hampshire,88.5,0.0
492,Rapides,Rapides,Rapides Parish,22079,LA,Louisiana,31.1986,-92.5332,130459,Louisiana,72.9,0.8863636363636364
493,Madison,Madison,Madison County,18095,IN,Indiana,40.1616,-85.7194,130037,Indiana,81.3,0.4090909090909094
494,Washington,Washington,Washington County,44009,RI,Rhode Island,41.4697,-71.6226,129735,Rhode Island,79.6,0.5056818181818187
495,Pickens,Pickens,Pickens County,45077,SC,South Carolina,34.8873,-82.7253,129617,South Carolina,77.6,0.6193181818181823
496,Fayette,Fayette,Fayette County,42051,PA,Pennsylvania,39.9201,-79.6474,129443,Pennsylvania,81.9,0.3749999999999998
497,Wichita,Wichita,Wichita County,48485,TX,Texas,33.988,-98.7035,129419,Texas,71.8,0.9488636363636368
498,Berkshire,Berkshire,Berkshire County,25003,MA,Massachusetts,42.3707,-73.2063,129089,Massachusetts,82.7,0.3295454545454545
499,Hunterdon,Hunterdon,Hunterdon County,34019,NJ,New Jersey,40.5673,-74.9122,128807,New Jersey,79.3,0.522727272727273
500,Bossier,Bossier,Bossier Parish,22015,LA,Louisiana,32.6784,-93.6049,128508,Louisiana,72.9,0.8863636363636364
501,Skagit,Skagit,Skagit County,53057,WA,Washington,48.4794,-121.7302,128228,Washington,83.9,0.26136363636363613
502,Clarke,Clarke,Clarke County,13059,GA,Georgia,33.9512,-83.3673,128195,Georgia,76.4,0.6874999999999999
503,Chautauqua,Chautauqua,Chautauqua County,36013,NY,New York,42.2281,-79.3663,128042,New York,75.6,0.7329545454545461
504,Sebastian,Sebastian,Sebastian County,5131,AR,Arkansas,35.1988,-94.2743,127941,Arkansas,76.9,0.659090909090909
505,Sumter,Sumter,Sumter County,12119,FL,Florida,28.7048,-82.081,127335,Florida,76.3,0.6931818181818186
506,Linn,Linn,Linn County,41043,OR,Oregon,44.4886,-122.5343,127200,Oregon,83.2,0.30113636363636354
507,Ascension,Ascension,Ascension Parish,22005,LA,Louisiana,30.2036,-90.9113,125289,Louisiana,72.9,0.8863636363636364
508,Cochise,Cochise,Cochise County,4003,AZ,Arizona,31.8796,-109.7512,125092,Arizona,76.6,0.6761363636363642
509,Richland,Richland,Richland County,39139,OH,Ohio,40.7747,-82.5365,124504,Ohio,82.3,0.3522727272727275
510,Gregg,Gregg,Gregg County,48183,TX,Texas,32.4805,-94.817,123744,Texas,71.8,0.9488636363636368
511,Kennebec,Kennebec,Kennebec County,23011,ME,Maine,44.4091,-69.7673,123293,Maine,86.6,0.10795454545454586
512,Faulkner,Faulkner,Faulkner County,5045,AR,Arkansas,35.147,-92.332,123191,Arkansas,76.9,0.659090909090909
513,Blair,Blair,Blair County,42013,PA,Pennsylvania,40.4811,-78.3484,123132,Pennsylvania,81.9,0.3749999999999998
514,San Juan,San Juan,San Juan County,35045,NM,New Mexico,36.5085,-108.3206,122912,New Mexico,70.9,1.0
515,Morgan,Morgan,Morgan County,1103,AL,Alabama,34.4535,-86.8529,122608,Alabama,76.1,0.704545454545455
516,Saline,Saline,Saline County,5125,AR,Arkansas,34.6466,-92.6766,122308,Arkansas,76.9,0.659090909090909
517,Jasper,Jasper,Jasper County,29097,MO,Missouri,37.2036,-94.3406,122059,Missouri,81.1,0.42045454545454586
518,Bonneville,Bonneville,Bonneville County,16019,ID,Idaho,43.3877,-111.6148,121771,Idaho,83.6,0.2784090909090913
519,Comanche,Comanche,Comanche County,40031,OK,Oklahoma,34.6621,-98.4717,121502,Oklahoma,79.9,0.4886363636363634
520,Berkeley,Berkeley,Berkeley County,54003,WV,West Virginia,39.4641,-78.0275,120460,West Virginia,79.1,0.5340909090909096
521,La Crosse,La Crosse,La Crosse County,55063,WI,Wisconsin,43.9066,-91.1152,120291,Wisconsin,84.7,0.21590909090909083
522,Clark,Clark,Clark County,18019,IN,Indiana,38.4772,-85.7073,120185,Indiana,81.3,0.4090909090909094
523,Allegan,Allegan,Allegan County,26005,MI,Michigan,42.5913,-85.8884,119418,Michigan,82.4,0.34659090909090884
524,Tom Green,Tom Green,Tom Green County,48451,TX,Texas,31.4044,-100.4621,119048,Texas,71.8,0.9488636363636368
525,Potter,Potter,Potter County,48375,TX,Texas,35.4013,-101.8939,119043,Texas,71.8,0.9488636363636368
526,Robeson,Robeson,Robeson County,37155,NC,North Carolina,34.6402,-79.1039,118836,North Carolina,78.7,0.5568181818181819
527,Douglas,Douglas,Douglas County,20045,KS,Kansas,38.8847,-95.2926,118690,Kansas,83.1,0.3068181818181822
528,Carroll,Carroll,Carroll County,13045,GA,Georgia,33.5828,-85.0798,118402,Georgia,76.4,0.6874999999999999
529,Oswego,Oswego,Oswego County,36075,NY,New York,43.4269,-76.1413,118019,New York,75.6,0.7329545454545461
530,Fayette,Fayette,Fayette County,13113,GA,Georgia,33.4139,-84.4943,117828,Georgia,76.4,0.6874999999999999
531,Wayne,Wayne,Wayne County,37191,NC,North Carolina,35.364,-78.004,117692,North Carolina,78.7,0.5568181818181819
532,Jefferson,Jefferson,Jefferson County,36045,NY,New York,44.0495,-75.921,117634,New York,75.6,0.7329545454545461
533,Sheboygan,Sheboygan,Sheboygan County,55117,WI,Wisconsin,43.7212,-87.9454,117528,Wisconsin,84.7,0.21590909090909083
534,Lowndes,Lowndes,Lowndes County,13185,GA,Georgia,30.8338,-83.2677,117437,Georgia,76.4,0.6874999999999999
535,Missoula,Missoula,Missoula County,30063,MT,Montana,47.0365,-113.9237,117379,Montana,86.9,0.0909090909090906
536,Wayne,Wayne,Wayne County,39169,OH,Ohio,40.8289,-81.888,116858,Ohio,82.3,0.3522727272727275
537,Gallatin,Gallatin,Gallatin County,30031,MT,Montana,45.5404,-111.1704,116725,Montana,86.9,0.0909090909090906
538,Windham,Windham,Windham County,9015,CT,Connecticut,41.83,-71.9874,116503,Connecticut,82.8,0.3238636363636366
539,Calhoun,Calhoun,Calhoun County,1015,AL,Alabama,33.7714,-85.826,116425,Alabama,76.1,0.704545454545455
540,Henderson,Henderson,Henderson County,37089,NC,North Carolina,35.3363,-82.48,115613,North Carolina,78.7,0.5568181818181819
541,Lycoming,Lycoming,Lycoming County,42081,PA,Pennsylvania,41.3434,-77.0645,114274,Pennsylvania,81.9,0.3749999999999998
542,Flagler,Flagler,Flagler County,12035,FL,Florida,29.4614,-81.3136,113888,Florida,76.3,0.6931818181818186
543,St. Mary's,St. Mary's,St. Mary's County,24037,MD,Maryland,38.3024,-76.6058,113209,Maryland,80.0,0.48295454545454564
544,Delaware,Delaware,Delaware County,18035,IN,Indiana,40.2275,-85.3969,112480,Indiana,81.3,0.4090909090909094
545,LaPorte,LaPorte,LaPorte County,18091,IN,Indiana,41.546,-86.74,112184,Indiana,81.3,0.4090909090909094
546,Ontario,Ontario,Ontario County,36069,NY,New York,42.8528,-77.2998,112060,New York,75.6,0.7329545454545461
547,Albemarle,Albemarle,Albemarle County,51003,VA,Virginia,38.0229,-78.5567,111438,Virginia,81.2,0.4147727272727273
548,Newton,Newton,Newton County,13217,GA,Georgia,33.555,-83.8502,111262,Georgia,76.4,0.6874999999999999
549,Mercer,Mercer,Mercer County,42085,PA,Pennsylvania,41.3022,-80.2577,111216,Pennsylvania,81.9,0.3749999999999998
550,Douglas,Douglas,Douglas County,41019,OR,Oregon,43.2797,-123.1665,110680,Oregon,83.2,0.30113636363636354
551,Androscoggin,Androscoggin,Androscoggin County,23001,ME,Maine,44.1658,-70.2065,110378,Maine,86.6,0.10795454545454586
552,Hardin,Hardin,Hardin County,21093,KY,Kentucky,37.6979,-85.9634,110134,Kentucky,78.1,0.5909090909090915
553,Terrebonne,Terrebonne,Terrebonne Parish,22109,LA,Louisiana,29.4148,-90.8663,110100,Louisiana,72.9,0.8863636363636364
554,LaSalle,LaSalle,LaSalle County,17099,IL,Illinois,41.344,-88.8859,109986,Illinois,79.6,0.5056818181818187
555,Craighead,Craighead,Craighead County,5031,AR,Arkansas,35.8308,-90.6328,109875,Arkansas,76.9,0.659090909090909
556,Cowlitz,Cowlitz,Cowlitz County,53015,WA,Washington,46.1932,-122.681,109457,Washington,83.9,0.26136363636363613
557,Warren,Warren,Warren County,34041,NJ,New Jersey,40.8572,-74.9973,109354,New Jersey,79.3,0.522727272727273
558,Hanover,Hanover,Hanover County,51085,VA,Virginia,37.7601,-77.491,109232,Virginia,81.2,0.4147727272727273
559,Eaton,Eaton,Eaton County,26045,MI,Michigan,42.5961,-84.8383,108972,Michigan,82.4,0.34659090909090884
560,St. Lawrence,St. Lawrence,St. Lawrence County,36089,NY,New York,44.4964,-75.0691,108836,New York,75.6,0.7329545454545461
561,Pennington,Pennington,Pennington County,46103,SD,South Dakota,44.0037,-102.8238,108707,South Dakota,85.1,0.19318181818181857
562,Madison,Madison,Madison County,28089,MS,Mississippi,32.6347,-90.0337,108248,Mississippi,72.0,0.9375000000000003
563,Kankakee,Kankakee,Kankakee County,17091,IL,Illinois,41.1377,-87.8618,108104,Illinois,79.6,0.5056818181818187
564,Miami,Miami,Miami County,39109,OH,Ohio,40.0535,-84.2289,107899,Ohio,82.3,0.3522727272727275
565,Bartow,Bartow,Bartow County,13015,GA,Georgia,34.2377,-84.8404,107868,Georgia,76.4,0.6874999999999999
566,Bradley,Bradley,Bradley County,47011,TN,Tennessee,35.1541,-84.8596,107845,Tennessee,78.3,0.5795454545454549
567,Yamhill,Yamhill,Yamhill County,41071,OR,Oregon,45.2326,-123.3081,107024,Oregon,83.2,0.30113636363636354
568,Cass,Cass,Cass County,29037,MO,Missouri,38.647,-94.3549,106966,Missouri,81.1,0.42045454545454586
569,Matanuska-Susitna,Matanuska-Susitna,Matanuska-Susitna Borough,2170,AK,Alaska,62.3155,-149.5728,106807,Alaska,87.3,0.06818181818181834
570,Navajo,Navajo,Navajo County,4017,AZ,Arizona,35.3996,-110.3214,106609,Arizona,76.6,0.6761363636363642
571,Vigo,Vigo,Vigo County,18167,IN,Indiana,39.4306,-87.39,106523,Indiana,81.3,0.4090909090909094
572,Houston,Houston,Houston County,1069,AL,Alabama,31.1532,-85.3025,106355,Alabama,76.1,0.704545454545455
573,Walworth,Walworth,Walworth County,55127,WI,Wisconsin,42.6685,-88.5419,105945,Wisconsin,84.7,0.21590909090909083
574,Monongalia,Monongalia,Monongalia County,54061,WV,West Virginia,39.6303,-80.0466,105695,West Virginia,79.1,0.5340909090909096
575,Carver,Carver,Carver County,27019,MN,Minnesota,44.8207,-93.8026,105694,Minnesota,86.9,0.0909090909090906
576,Tompkins,Tompkins,Tompkins County,36109,NY,New York,42.452,-76.4736,105638,New York,75.6,0.7329545454545461
577,Sumter,Sumter,Sumter County,45085,SC,South Carolina,33.9162,-80.3822,105537,South Carolina,77.6,0.6193181818181823
578,Rockwall,Rockwall,Rockwall County,48397,TX,Texas,32.8978,-96.4079,105227,Texas,71.8,0.9488636363636368
579,Eau Claire,Eau Claire,Eau Claire County,55035,WI,Wisconsin,44.7268,-91.286,105206,Wisconsin,84.7,0.21590909090909083
580,Platte,Platte,Platte County,29165,MO,Missouri,39.3803,-94.7738,105189,Missouri,81.1,0.42045454545454586
581,Woodbury,Woodbury,Woodbury County,19193,IA,Iowa,42.3897,-96.0448,105102,Iowa,85.1,0.19318181818181857
582,Franklin,Franklin,Franklin County,29071,MO,Missouri,38.4111,-91.075,104331,Missouri,81.1,0.42045454545454586
583,Macon,Macon,Macon County,17115,IL,Illinois,39.86,-88.9616,104331,Illinois,79.6,0.5056818181818187
584,Bay,Bay,Bay County,26017,MI,Michigan,43.7074,-83.9922,104050,Michigan,82.4,0.34659090909090884
585,Fond du Lac,Fond du Lac,Fond du Lac County,55039,WI,Wisconsin,43.7536,-88.4883,103890,Wisconsin,84.7,0.21590909090909083
586,Adams,Adams,Adams County,42001,PA,Pennsylvania,39.8715,-77.2179,103782,Pennsylvania,81.9,0.3749999999999998
587,Etowah,Etowah,Etowah County,1055,AL,Alabama,34.0453,-86.0348,103468,Alabama,76.1,0.704545454545455
588,Flathead,Flathead,Flathead County,30029,MT,Montana,48.2951,-114.0497,103400,Montana,86.9,0.0909090909090906
589,Cecil,Cecil,Cecil County,24015,MD,Maryland,39.5712,-75.9407,103370,Maryland,80.0,0.48295454545454564
590,Wicomico,Wicomico,Wicomico County,24045,MD,Maryland,38.3733,-75.6208,103223,Maryland,80.0,0.48295454545454564
591,Whitfield,Whitfield,Whitfield County,13313,GA,Georgia,34.8056,-84.9672,103076,Georgia,76.4,0.6874999999999999
592,Daviess,Daviess,Daviess County,21059,KY,Kentucky,37.7318,-87.0873,102488,Kentucky,78.1,0.5909090909090915
593,Allen,Allen,Allen County,39003,OH,Ohio,40.7715,-84.1058,102462,Ohio,82.3,0.3522727272727275
594,Columbiana,Columbiana,Columbiana County,39029,OH,Ohio,40.7684,-80.7772,102331,Ohio,82.3,0.3522727272727275
595,Nevada,Nevada,Nevada County,6057,CA,California,39.3013,-120.7689,102090,California,71.6,0.9602272727272734
596,Craven,Craven,Craven County,37049,NC,North Carolina,35.1249,-77.0939,101405,North Carolina,78.7,0.5568181818181819
597,Limestone,Limestone,Limestone County,1083,AL,Alabama,34.8101,-86.9814,101217,Alabama,76.1,0.704545454545455
598,Highlands,Highlands,Highlands County,12055,FL,Florida,27.3433,-81.341,101174,Florida,76.3,0.6931818181818186
599,DeKalb,DeKalb,DeKalb County,17037,IL,Illinois,41.8935,-88.7703,100922,Illinois,79.6,0.5056818181818187
600,Laramie,Laramie,Laramie County,56021,WY,Wyoming,41.307,-104.6895,99905,Wyoming,86.4,0.11931818181818155
601,Garland,Garland,Garland County,5051,AR,Arkansas,34.5768,-93.1504,99694,Arkansas,76.9,0.659090909090909
602,Roanoke,Roanoke,Roanoke City,51770,VA,Virginia,37.2785,-79.958,99578,Virginia,81.2,0.4147727272727273
603,Lenawee,Lenawee,Lenawee County,26091,MI,Michigan,41.8951,-84.0664,99346,Michigan,82.4,0.34659090909090884
604,Montgomery,Montgomery,Montgomery County,51121,VA,Virginia,37.1743,-80.3872,99294,Virginia,81.2,0.4147727272727273
605,Sutter,Sutter,Sutter County,6101,CA,California,39.0346,-121.6948,99080,California,71.6,0.9602272727272734
606,Maury,Maury,Maury County,47119,TN,Tennessee,35.6169,-87.077,99011,Tennessee,78.3,0.5795454545454549
607,Cleveland,Cleveland,Cleveland County,37045,NC,North Carolina,35.3341,-81.5555,98898,North Carolina,78.7,0.5568181818181819
608,Hunt,Hunt,Hunt County,48231,TX,Texas,33.1236,-96.0855,98783,Texas,71.8,0.9488636363636368
609,Dubuque,Dubuque,Dubuque County,19061,IA,Iowa,42.4688,-90.8825,98687,Iowa,85.1,0.19318181818181857
610,Moore,Moore,Moore County,37125,NC,North Carolina,35.3106,-79.4814,98618,North Carolina,78.7,0.5568181818181819
611,Madison,Madison,Madison County,47113,TN,Tennessee,35.6081,-88.8385,98373,Tennessee,78.3,0.5795454545454549
612,Floyd,Floyd,Floyd County,13115,GA,Georgia,34.2632,-85.2143,98210,Georgia,76.4,0.6874999999999999
613,Story,Story,Story County,19169,IA,Iowa,42.0362,-93.465,98106,Iowa,85.1,0.19318181818181857
614,Sevier,Sevier,Sevier County,47155,TN,Tennessee,35.7847,-83.5242,98088,Tennessee,78.3,0.5795454545454549
615,Putnam,Putnam,Putnam County,36079,NY,New York,41.4267,-73.7495,97960,New York,75.6,0.7329545454545461
616,Burleigh,Burleigh,Burleigh County,38015,ND,North Dakota,46.9774,-100.4687,97895,North Dakota,86.6,0.10795454545454586
617,Grant,Grant,Grant County,53025,WA,Washington,47.2057,-119.4518,97874,Washington,83.9,0.26136363636363613
618,Ashtabula,Ashtabula,Ashtabula County,39007,OH,Ohio,41.7074,-80.7483,97869,Ohio,82.3,0.3522727272727275
619,Lafourche,Lafourche,Lafourche Parish,22057,LA,Louisiana,29.5661,-90.4256,97677,Louisiana,72.9,0.8863636363636364
620,Portsmouth,Portsmouth,Portsmouth City,51740,VA,Virginia,36.8468,-76.354,97454,Virginia,81.2,0.4147727272727273
621,Marshall,Marshall,Marshall County,1095,AL,Alabama,34.367,-86.3066,97179,Alabama,76.1,0.704545454545455
622,Fairbanks North Star,Fairbanks North Star,Fairbanks North Star Borough,2090,AK,Alaska,64.8078,-146.5654,97149,Alaska,87.3,0.06818181818181834
623,Dallas,Dallas,Dallas County,19049,IA,Iowa,41.6849,-94.0398,96604,Iowa,85.1,0.19318181818181857
624,Roanoke,Roanoke,Roanoke County,51161,VA,Virginia,37.2693,-80.068,96303,Virginia,81.2,0.4147727272727273
625,Sherburne,Sherburne,Sherburne County,27141,MN,Minnesota,45.444,-93.7746,96295,Minnesota,86.9,0.0909090909090906
626,Cape May,Cape May,Cape May County,34009,NJ,New Jersey,39.1496,-74.8002,95488,New Jersey,79.3,0.522727272727273
627,Walton,Walton,Walton County,13297,GA,Georgia,33.7816,-83.7339,95453,Georgia,76.4,0.6874999999999999
628,Geauga,Geauga,Geauga County,39055,OH,Ohio,41.4996,-81.1786,95408,Ohio,82.3,0.3522727272727275
629,Franklin,Franklin,Franklin County,53021,WA,Washington,46.5347,-118.899,95313,Washington,83.9,0.26136363636363613
630,Bastrop,Bastrop,Bastrop County,48021,TX,Texas,30.1036,-97.312,94887,Texas,71.8,0.9488636363636368
631,Benton,Benton,Benton County,41003,OR,Oregon,44.4918,-123.4293,94667,Oregon,83.2,0.30113636363636354
632,Lancaster,Lancaster,Lancaster County,45057,SC,South Carolina,34.6867,-80.7054,94653,South Carolina,77.6,0.6193181818181823
633,Rogers,Rogers,Rogers County,40131,OK,Oklahoma,36.3715,-95.6043,94637,Oklahoma,79.9,0.4886363636363634
634,Nash,Nash,Nash County,37127,NC,North Carolina,35.9673,-77.9864,94628,North Carolina,78.7,0.5568181818181819
635,Cabell,Cabell,Cabell County,54011,WV,West Virginia,38.4203,-82.2417,94622,West Virginia,79.1,0.5340909090909096
636,Grand Traverse,Grand Traverse,Grand Traverse County,26055,MI,Michigan,44.6688,-85.5605,94562,Michigan,82.4,0.34659090909090884
637,Steuben,Steuben,Steuben County,36101,NY,New York,42.2678,-77.3838,94153,New York,75.6,0.7329545454545461
638,Pottawattamie,Pottawattamie,Pottawattamie County,19155,IA,Iowa,41.3366,-95.5423,93571,Iowa,85.1,0.19318181818181857
639,Lauderdale,Lauderdale,Lauderdale County,1077,AL,Alabama,34.9014,-87.654,93342,Alabama,76.1,0.704545454545455
640,Suffolk,Suffolk,Suffolk City,51800,VA,Virginia,36.6953,-76.6398,93268,Virginia,81.2,0.4147727272727273
641,Tuscarawas,Tuscarawas,Tuscarawas County,39157,OH,Ohio,40.4409,-81.4738,93025,Ohio,82.3,0.3522727272727275
642,Campbell,Campbell,Campbell County,21037,KY,Kentucky,38.9465,-84.3795,93023,Kentucky,78.1,0.5909090909090915
643,Rockdale,Rockdale,Rockdale County,13247,GA,Georgia,33.6543,-84.0266,92983,Georgia,76.4,0.6874999999999999
644,Bowie,Bowie,Bowie County,48037,TX,Texas,33.4458,-94.4234,92957,Texas,71.8,0.9488636363636368
645,Calvert,Calvert,Calvert County,24009,MD,Maryland,38.5434,-76.5687,92515,Maryland,80.0,0.48295454545454564
646,St. Croix,St. Croix,St. Croix County,55109,WI,Wisconsin,45.034,-92.4526,92495,Wisconsin,84.7,0.21590909090909083
647,Madison,Madison,Madison County,21151,KY,Kentucky,37.7202,-84.278,92194,Kentucky,78.1,0.5909090909090915
648,Northumberland,Northumberland,Northumberland County,42097,PA,Pennsylvania,40.852,-76.7095,91853,Pennsylvania,81.9,0.3749999999999998
649,Mendocino,Mendocino,Mendocino County,6045,CA,California,39.4402,-123.3915,91534,California,71.6,0.9602272727272734
650,Wayne,Wayne,Wayne County,36117,NY,New York,43.1566,-77.0294,91332,New York,75.6,0.7329545454545461
651,Victoria,Victoria,Victoria County,48469,TX,Texas,28.7964,-96.9715,91280,Texas,71.8,0.9488636363636368
652,Ozaukee,Ozaukee,Ozaukee County,55089,WI,Wisconsin,43.384,-87.9509,91029,Wisconsin,84.7,0.21590909090909083
653,Grafton,Grafton,Grafton County,33009,NH,New Hampshire,43.9407,-71.8208,91025,New Hampshire,88.5,0.0
654,Rockingham,Rockingham,Rockingham County,37157,NC,North Carolina,36.396,-79.775,90903,North Carolina,78.7,0.5568181818181819
655,St. Clair,St. Clair,St. Clair County,1115,AL,Alabama,33.7157,-86.3146,90412,Alabama,76.1,0.704545454545455
656,Frederick,Frederick,Frederick County,51069,VA,Virginia,39.2046,-78.2626,90287,Virginia,81.2,0.4147727272727273
657,Liberty,Liberty,Liberty County,48291,TX,Texas,30.1516,-94.8122,89948,Texas,71.8,0.9488636363636368
658,Dodge,Dodge,Dodge County,55027,WI,Wisconsin,43.4163,-88.7075,89274,Wisconsin,84.7,0.21590909090909083
659,Twin Falls,Twin Falls,Twin Falls County,16083,ID,Idaho,42.356,-114.6672,89128,Idaho,83.6,0.2784090909090913
660,Lapeer,Lapeer,Lapeer County,26087,MI,Michigan,43.0901,-83.2218,88644,Michigan,82.4,0.34659090909090884
661,Nassau,Nassau,Nassau County,12089,FL,Florida,30.6107,-81.8017,88492,Florida,76.3,0.6931818181818186
662,Burke,Burke,Burke County,37023,NC,North Carolina,35.7496,-81.7048,87829,North Carolina,78.7,0.5568181818181819
663,Christian,Christian,Christian County,29043,MO,Missouri,36.9696,-93.1889,87824,Missouri,81.1,0.42045454545454586
664,Josephine,Josephine,Josephine County,41033,OR,Oregon,42.3655,-123.5555,87686,Oregon,83.2,0.30113636363636354
665,Elmore,Elmore,Elmore County,1051,AL,Alabama,32.5966,-86.1492,87146,Alabama,76.1,0.704545454545455
666,Cullman,Cullman,Cullman County,1043,AL,Alabama,34.1319,-86.8676,87129,Alabama,76.1,0.704545454545455
667,Dougherty,Dougherty,Dougherty County,13095,GA,Georgia,31.5335,-84.2164,86825,Georgia,76.4,0.6874999999999999
668,Angelina,Angelina,Angelina County,48005,TX,Texas,31.2548,-94.6119,86584,Texas,71.8,0.9488636363636368
669,Bannock,Bannock,Bannock County,16005,ID,Idaho,42.6685,-112.2246,86362,Idaho,83.6,0.2784090909090913
670,Polk,Polk,Polk County,41053,OR,Oregon,44.9035,-123.4132,86347,Oregon,83.2,0.30113636363636354
671,Muskingum,Muskingum,Muskingum County,39119,OH,Ohio,39.9654,-81.9444,86346,Ohio,82.3,0.3522727272727275
672,Lawrence,Lawrence,Lawrence County,42073,PA,Pennsylvania,40.9912,-80.3347,86311,Pennsylvania,81.9,0.3749999999999998
