,county,county_ascii,county_full,county_fips,state_id,state_name,lat,lng,population,State,Literacy Rate,normalized_literacy
2348,Alleghany,Alleghany,Alleghany County,37005,NC,North Carolina,36.4916,-81.1271,10910,North Carolina,78.7,0.5568181818181819
2349,Pushmataha,Pushmataha,Pushmataha County,40127,OK,Oklahoma,34.4162,-95.3759,10891,Oklahoma,79.9,0.4886363636363634
2350,Louisa,Louisa,Louisa County,19115,IA,Iowa,41.2185,-91.2596,10891,Iowa,85.1,0.19318181818181857
2351,Candler,Candler,Candler County,13043,GA,Georgia,32.4034,-82.0737,10885,Georgia,76.4,0.6874999999999999
2352,Roosevelt,Roosevelt,Roosevelt County,30085,MT,Montana,48.2945,-105.0164,10884,Montana,86.9,0.0909090909090906
2353,St. Helena,St. Helena,St. Helena Parish,22091,LA,Louisiana,30.822,-90.7103,10881,Louisiana,72.9,0.8863636363636364
2354,Barnes,Barnes,Barnes County,38003,ND,North Dakota,46.9361,-98.0716,10869,North Dakota,86.6,0.10795454545454586
2355,North Slope,North Slope,North Slope Borough,2185,AK,Alaska,69.3122,-153.481,10865,Alaska,87.3,0.06818181818181834
2356,Hancock,Hancock,Hancock County,19081,IA,Iowa,43.0819,-93.7343,10837,Iowa,85.1,0.19318181818181857
2357,Lake,Lake,Lake County,27075,MN,Minnesota,47.641,-91.4458,10835,Minnesota,86.9,0.0909090909090906
2358,Box Butte,Box Butte,Box Butte County,31013,NE,Nebraska,42.2197,-103.0857,10821,Nebraska,83.6,0.2784090909090913
2359,Mackinac,Mackinac,Mackinac County,26097,MI,Michigan,46.0804,-85.0867,10814,Michigan,82.4,0.34659090909090884
2360,Early,Early,Early County,13099,GA,Georgia,31.3228,-84.9036,10813,Georgia,76.4,0.6874999999999999
2361,Carroll,Carroll,Carroll County,21041,KY,Kentucky,38.6678,-85.1236,10808,Kentucky,78.1,0.5909090909090915
2362,Lincoln,Lincoln,Lincoln County,53043,WA,Washington,47.5763,-118.4187,10798,Washington,83.9,0.26136363636363613
2363,Evans,Evans,Evans County,13109,GA,Georgia,32.1568,-81.8869,10761,Georgia,76.4,0.6874999999999999
2364,Bollinger,Bollinger,Bollinger County,29017,MO,Missouri,37.3222,-90.0259,10758,Missouri,81.1,0.42045454545454586
2365,Winnebago,Winnebago,Winnebago County,19189,IA,Iowa,43.3776,-93.7342,10743,Iowa,85.1,0.19318181818181857
2366,Red Willow,Red Willow,Red Willow County,31145,NE,Nebraska,40.1758,-100.4769,10724,Nebraska,83.6,0.2784090909090913
2367,Wilcox,Wilcox,Wilcox County,1131,AL,Alabama,31.9893,-87.3082,10686,Alabama,76.1,0.704545454545455
2368,Middlesex,Middlesex,Middlesex County,51119,VA,Virginia,37.6303,-76.5697,10686,Virginia,81.2,0.4147727272727273
2369,Walsh,Walsh,Walsh County,38099,ND,North Dakota,48.3695,-97.7213,10631,North Dakota,86.6,0.10795454545454586
2370,Custer,Custer,Custer County,31041,NE,Nebraska,41.3943,-99.7262,10625,Nebraska,83.6,0.2784090909090913
2371,Leslie,Leslie,Leslie County,21131,KY,Kentucky,37.0941,-83.3811,10622,Kentucky,78.1,0.5909090909090915
2372,Essex,Essex,Essex County,51057,VA,Virginia,37.9435,-76.9516,10621,Virginia,81.2,0.4147727272727273
2373,Colfax,Colfax,Colfax County,31037,NE,Nebraska,41.574,-97.0865,10608,Nebraska,83.6,0.2784090909090913
